area_type,size,bathroom,parking,balcony,price,total_sqft,hospital_nearby,school_nearby,mall_nearby,resale,location
Super built-up  Area,2 BHK,2,2,2,3900000,1155,No,No,Yes,0,Kengeri Satellite Town
Super built-up  Area,2 BHK,2,1,1,2995000,1000,Yes,Yes,No,1,vinayakanagar
Super built-up  Area,2 BHK,2,2,1,4500000,1200,Yes,Yes,Yes,0,St. John's Road
Super built-up  Area,3 BHK,3,1,2,7128000,1517,Yes,Yes,Yes,0,Uttarahalli
Super built-up  Area,2 BHK,2,1,1,3729000,1166,Yes,No,No,1,Jaraganahalli Jp Nagar Post
Built-up  Area,2 BHK,2,2,2,2400000,870,No,Yes,Yes,0,Haralur Road
Super built-up  Area,5 BHK,5,1,2,17000000,4000,No,Yes,Yes,1,adigondanhalli
Plot  Area,4 BHK,4,2,1,23000000,1350,Yes,Yes,Yes,0,Yelahanka
Super built-up  Area,4 BHK,6,2,,19000000,3019,Yes,Yes,No,1,Hennur Road
Super built-up  Area,3 BHK,3,1,1,5800000,1345,Yes,No,Yes,0,Jalahalli
Plot  Area,3 BHK,3,1,1,7500000,900,No,No,No,1,7th Phase JP Nagar
Super built-up  Area,4 BHK,5,2,2,17000000,3800,No,No,Yes,0,Sarjapur  Road
Super built-up  Area,3 BHK,2,2,2,3800000,971,Yes,No,Yes,0,Varthur
Super built-up  Area,2 BHK,2,1,1,5232000,1255,No,Yes,No,0,Electronic City
Built-up  Area,2 BHK,2,2,2,6500000,1810,No,Yes,No,1,Horamavu Banaswadi
Built-up  Area,2 BHK,2,1,1,5800000,1300,Yes,No,Yes,0,Yelahanka
Super built-up  Area,2 BHK,2,2,2,4500000,1185,Yes,No,Yes,0,Horamavu Agara
Super built-up  Area,2 BHK,2,2,3,6800000,1350,No,Yes,Yes,0,Electronic City
Super built-up  Area,3 BHK,3,2,0,7616000,1590,No,No,Yes,0,5th Phase JP Nagar
Super built-up  Area,7 BHK,6,2,3,18000000,3000,No,No,Yes,0,Rajaji Nagar
Plot  Area,4 BHK,3,2,2,14900000,1560,No,No,Yes,1,Yelahanka
Super built-up  Area,3 BHK,3,2,,12600000,1650,Yes,No,No,0,Whitefield
Super built-up  Area,3 BHK,3,2,2,8700000,1645,No,No,No,0,Dommasandra
Super built-up  Area,3 BHK,3,2,,10300000,1748,Yes,Yes,Yes,1,EPIP Zone
Plot  Area,3 BHK,3,1,1,6777000,1200,No,No,Yes,1,Chandapura
Built-up  Area,2 BHK,2,2,3,5000000,1170,Yes,No,Yes,0,Hennur
Built-up  Area,4 BHK,4,2,2,22500000,3420,No,Yes,No,1,EPIP Zone
Built-up  Area,3 BHK,2,1,2,6500000,1320,No,Yes,Yes,1,"Whitefield, "
Super built-up  Area,3 BHK,3,1,2,8453000,1610,Yes,Yes,Yes,0,Thanisandra
Super built-up  Area,3 BHK,3,2,3,18000000,1870,Yes,Yes,Yes,1,Pattandur Agrahara
Super built-up  Area,3 BHK,2,2,1,11000000,1510,Yes,No,Yes,0,Budigere
Built-up  Area,6 BHK,7,1,3,11000000,2700,No,Yes,No,0,Thyagaraja Nagar
Super built-up  Area,3 BHK,2,1,1,4568000,1305,No,Yes,Yes,0,Brookefield
Super built-up  Area,3 BHK,2,1,1,7000000,1500,Yes,Yes,No,0,Somasundara Palya
Super built-up  Area,2 BHK,2,1,1,13000000,1149,Yes,Yes,Yes,0,Off Bannergatta Road
Built-up  Area,4 BHK,4,2,2,12900000,1948,No,No,No,1,Hennur Road
Plot  Area,3 BHK,3,1,1,7000000,1448,Yes,Yes,Yes,1,Channasandra
Super built-up  Area,2 BHK,2,1,1,7800000,1242,No,No,Yes,0,Kengeri Satellite Town
Super built-up  Area,2 BHK,2,1,1,5800000,1268,No,No,Yes,1,Sarjapur  Road
Super built-up  Area,2 BHK,2,1,1,5000000,1101,Yes,No,Yes,0,Hulimavu
Super built-up  Area,2 BHK,2,1,3,6500000,1255,Yes,No,No,1,Bhoganhalli
Super built-up  Area,3 BHK,3,2,1,6263000,1362,Yes,Yes,Yes,0,Frazer Town
Super built-up  Area,3 BHK,3,1,2,14000000,984,No,No,Yes,0,Sarjapur  Road
Super built-up  Area,2 BHK,2,2,1,3267000,1089,No,No,No,0,Kammagondahalli
Built-up  Area,2 BHK,1,1,3,9500000,800,No,Yes,No,0,Kanakapura  Rod
Super built-up  Area,3 BHK,2,2,1,5700000,1345,Yes,No,Yes,1,Mahadevpura
Plot  Area,8 BHK,9,2,3,12500000,3600,No,Yes,No,1,Indira Nagar
Plot  Area,4 BHK,2,1,1,14000000,1650,Yes,No,Yes,0,Thanisandra
Super built-up  Area,2 BHK,2,1,1,4500000,950,No,Yes,No,0,Margondanahalli
Super built-up  Area,2 BHK,2,1,1,4300000,1068,No,Yes,No,0,Sarjapur  Road
Built-up  Area,2 BHK,1,2,2,3100000,860,No,No,No,0,Sonnenahalli
Built-up  Area,8 BHK,5,2,,13000000,3000,Yes,Yes,Yes,0,Ramamurthy Nagar
Super built-up  Area,3 BHK,3,1,2,6673000,1756,Yes,Yes,Yes,0,Kallumantapa
Super built-up  Area,2 BHK,2,1,1,4100000,1205,Yes,No,No,0,Gunjur
Plot  Area,8 BHK,8,1,,15500000,1120,Yes,No,No,0,Sarjapur  Road
Super built-up  Area,3 BHK,3,1,2,12500000,1800,No,Yes,Yes,0,Hosa Road
Super built-up  Area,4 BHK,5,2,2,291200000,8321,Yes,Yes,No,0,Byrathi Village
Built-up  Area,3 BHK,3,2,0,6800000,1604,No,Yes,No,0,Uttarahalli
Super built-up  Area,4 BHK,4,2,3,20400000,2732,Yes,No,Yes,0,Thanisandra
Super built-up  Area,2 BHK,2,1,2,2588000,1015,No,No,No,1,Krishna Nagar
Super built-up  Area,3 BHK,2,1,2,4200000,1200,No,No,No,1,Kaggalipura
Super built-up  Area,2 BHK,2,1,2,3800000,1010,Yes,No,No,0,HBR Layout
Built-up  Area,2 BHK,3,1,0,17000000,1250,Yes,No,Yes,0,Yelahanka New Town
Super built-up  Area,2 BHK,2,2,1,4100000,1010,Yes,Yes,No,0,Kengeri
Super built-up  Area,2 BHK,2,2,2,3310000,1050,No,Yes,Yes,1,Yelahanka
Super built-up  Area,3 BHK,3,2,2,8500000,1710,Yes,Yes,No,1,Whitefield
Super built-up  Area,3 BHK,3,2,2,11500000,1248.52,No,No,Yes,0,Hoodi
Built-up  Area,1 BHK,1,1,1,1000000,500,Yes,No,No,0,Banashankari
Super built-up  Area,3 BHK,2,2,1,6293000,1656,No,Yes,No,0,Ashok Nagar
Super built-up  Area,3 BHK,3,2,1,6800000,1451,Yes,Yes,Yes,0,Hormavu
Super built-up  Area,6 BHK,3,1,0,17500000,1200,Yes,No,No,1,Old Airport Road
Super built-up  Area,2 BHK,2,1,2,9300000,1250,Yes,Yes,Yes,0,Chandapura
Plot  Area,3 BHK,3,2,3,24000000,4395,No,No,Yes,0,Banashankari
Super built-up  Area,4 BHK,6,2,2,65000000,4600,No,No,Yes,0,Ananth Nagar
Built-up  Area,3 BHK,2,2,3,4200000,1340,No,Yes,No,0,Nagarbhavi
Super built-up  Area,2 BHK,2,2,2,3850000,1100,No,Yes,No,1,Doddakallasandra
Super built-up  Area,4 BHK,6,1,,70000000,6000,No,Yes,No,1,Yelahanka
Super built-up  Area,3 BHK,3,1,1,7100000,1700,No,No,No,1,Harlur
Plot  Area,6 BHK,5,2,0,15000000,1200,Yes,Yes,No,1,Mysore Road
Super built-up  Area,2 BHK,2,2,1,4300000,1096,No,No,No,1,Attibele
Super built-up  Area,2 BHK,2,2,1,3350000,1160,Yes,Yes,No,0,Bannerghatta Road
Built-up  Area,3 BHK,3,2,2,13900000,1936,Yes,Yes,No,1,Naganathapura
Super built-up  Area,3 BHK,2,2,2,6300000,1269,Yes,Yes,Yes,1,Giri Nagar
Super built-up  Area,3 BHK,3,2,1,63000000,3500,Yes,Yes,Yes,0,JP Nagar
Super built-up  Area,3 BHK,3,2,1,12500000,1586,Yes,Yes,No,0,Meenakunte
Super built-up  Area,2 BHK,2,1,1,12400000,1376,No,No,No,0,Hebbal
Super built-up  Area,3 BHK,3,2,3,5650000,1452,Yes,No,Yes,0,Sonnenahalli
Super built-up  Area,3 BHK,3,2,1,10700000,1538,No,No,Yes,1,Abbaiah Reddy Layout
Super built-up  Area,3 BHK,2,2,1,13000000,1427,Yes,Yes,Yes,0,Whitefield
Built-up  Area,2 BHK,2,1,0,4000000,935,No,Yes,Yes,1, Devarachikkanahalli
Built-up  Area,2 BHK,2,2,3,6500000,1220,No,No,Yes,0,Yelahanka
Super built-up  Area,2 BHK,2,2,1,7700000,1197,No,Yes,Yes,0,KR Puram
Super built-up  Area,2 BHK,1,2,1,1990000,674,No,No,Yes,1,Electronic City Phase II
Built-up  Area,1 BHK,1,1,1,1500000,500,Yes,Yes,Yes,0,"Sarjapur Road, "
Built-up  Area,3 BHK,3,1,1,9000000,1573,No,No,Yes,0,Nehru Nagar
Super built-up  Area,2 BHK,2,1,2,5800000,1135,No,No,No,0,Richmond Road
Built-up  Area,3 BHK,2,1,1,4043000,1400,No,Yes,No,1,Panathur
Super built-up  Area,1 BHK,1,1,0,6500000,1200,No,Yes,No,0,Rajaji Nagar
Plot  Area,3 BHK,3,2,0,9500000,1800,No,Yes,No,1,Kanakpura Road
Built-up  Area,3 BHK,3,2,2,10800000,2045,No,No,Yes,0,Hosa Road
Super built-up  Area,2 BHK,2,1,1,5600000,1268,No,Yes,No,0,Hosur Road
Super built-up  Area,2 BHK,2,2,1,3900000,883,Yes,Yes,Yes,0,Upadhyaya Layout
Super built-up  Area,3 BHK,3,2,3,10000000,1600,No,Yes,No,0,Ashwath Nagar
Super built-up  Area,2 BHK,2,2,2,7000000,1056,No,Yes,Yes,1,Harlur
Plot  Area,3 BHK,3,2,,10500000,1200,Yes,Yes,Yes,0,Varthur
Plot  Area,4 BHK,4,1,,33000000,4500,Yes,Yes,No,0,Kengeri
Super built-up  Area,2 BHK,2,2,2,5800000,1204,Yes,Yes,Yes,0,Thanisandra
Super built-up  Area,3 BHK,2,1,1,5400000,1410,No,Yes,No,0,Dodda Nekkundi
Built-up  Area,2 BHK,2,2,1,8030000,1460,Yes,Yes,No,0,Huskur
Super built-up  Area,2 BHK,2,1,1,4118000,1100,No,Yes,No,1,Agrahara Dasarahalli
Super built-up  Area,2 BHK,2,1,1,8800000,1310,Yes,Yes,Yes,0,Ittamadu
Super built-up  Area,3 BHK,3,1,2,9000000,1600,No,No,No,0,Avalahalli
Super built-up  Area,2 BHK,2,2,2,5500000,1250,No,Yes,Yes,0,Sonnenahalli
Super built-up  Area,3 BHK,3,1,2,7493000,1665,Yes,No,No,1,Kambipura
Super built-up  Area,3 BHK,2,1,1,5700000,1345,No,Yes,No,1,Yelahanka
Built-up  Area,5 BHK,5,1,2,24000000,2000,Yes,No,Yes,1,Thanisandra
Super built-up  Area,2 BHK,2,2,2,6700000,1416,Yes,Yes,Yes,0,Jigani
Super built-up  Area,2 BHK,2,2,2,4600000,1145,Yes,No,No,1,Whitefield
Built-up  Area,7 BHK,10,2,3,20000000,7200,Yes,No,No,1,KR Puram
Built-up  Area,3 BHK,3,2,2,5800000,1231,Yes,No,No,1,Tejaswini Nagar
Super built-up  Area,3 BHK,3,2,0,7395000,1664,No,Yes,Yes,0,Hennur Road
Built-up  Area,3 BHK,3,1,1,7600000,2000,Yes,Yes,Yes,1,Dodda Nekkundi
Built-up  Area,2 BHK,2,1,2,4300000,972,Yes,Yes,Yes,0,Govindapura
Built-up  Area,4 BHK,4,2,3,34500000,4500,Yes,No,No,0,Sector 2 HSR Layout
Super built-up  Area,2 BHK,2,1,1,4739000,1185,Yes,Yes,No,1,Lottegolla Halli
Built-up  Area,3 BHK,3,1,2,8100000,1750,Yes,No,No,1,Sarjapur  Road
Built-up  Area,3 BHK,4,1,,31600000,3155,Yes,No,Yes,0,Uttarahalli
Super built-up  Area,2 BHK,2,1,1,6800000,1007,No,No,Yes,1,Hosahalli Extension
Super built-up  Area,3 BHK,3,2,2,20000000,1700,No,No,Yes,0,Singasandra
Super built-up  Area,2 BHK,2,1,2,8500000,1250,No,Yes,Yes,0,HSR Layout
Super built-up  Area,2 BHK,2,1,1,5400000,1200,Yes,Yes,No,1,Munnekollal
Super built-up  Area,2 BHK,2,1,1,4228000,994,Yes,No,No,1,Jigani
Super built-up  Area,2 BHK,2,2,2,4000000,1150,No,Yes,Yes,0,Yelahanka
Super built-up  Area,2 BHK,2,2,2,4600000,1220,No,Yes,No,0,TC Palaya
Super built-up  Area,2 BHK,2,1,1,11500000,1441,No,No,Yes,1,Rajiv Nagar
Super built-up  Area,2 BHK,2,1,2,4732000,1157,No,Yes,No,1,3rd Phase JP Nagar
Super built-up  Area,6 BHK,6,2,3,15000000,1300,Yes,No,Yes,0,Bellandur
Super built-up  Area,2 BHK,2,2,2,10500000,1400,Yes,No,Yes,0,Green Glen Layout
Built-up  Area,3 BHK,3,2,1,6500000,1370.07,No,No,Yes,0,Byadarahalli
Plot  Area,5 BHK,4,2,1,13000000,1200,No,No,Yes,1,Balagere
Super built-up  Area,2 BHK,2,2,1,4000000,900,Yes,No,No,1,Rajaji Nagar
Super built-up  Area,1 BHK,1,0,1,1700000,500,No,Yes,No,1,Whitefield
Plot  Area,3 BHK,3,2,1,8000000,1200,Yes,No,No,1,Telecom Layout
Built-up  Area,2 BHK,2,2,3,4300000,1200,Yes,No,Yes,1,Horamavu Agara
Super built-up  Area,2 BHK,2,2,1,4248000,1062,Yes,No,Yes,0,Ramamurthy Nagar
Super built-up  Area,2 BHK,2,2,1,5100000,1120,Yes,No,No,0,Thanisandra
Super built-up  Area,2 BHK,2,2,1,4400000,1012,Yes,Yes,Yes,0,Hennur Gardens
Plot  Area,3 BHK,2,1,1,20000000,1500,Yes,Yes,No,0,Old Madras Road
Built-up  Area,4 BHK,4,2,,18000000,950,Yes,No,Yes,0,RPC layout
Super built-up  Area,2 BHK,2,1,2,1350000,675,Yes,Yes,No,1,Thigalarapalya
Super built-up  Area,2 BHK,2,2,2,7800000,1430,No,No,Yes,1,Tindlu
Super built-up  Area,3 BHK,2,1,1,5600000,1195,Yes,No,Yes,1,Magadi Road
Super built-up  Area,3 BHK,5,1,1,15000000,2640,Yes,No,Yes,1,Judicial Layout
Super built-up  Area,3 BHK,2,1,1,4200000,1075,Yes,Yes,Yes,0,Kodipalya
Super built-up  Area,3 BHK,3,1,0,7599000,1570,No,No,Yes,0,Vishwapriya Nagar
Plot  Area,6 BHK,4,1,2,8500000,782,No,No,No,0,ISRO Layout
Built-up  Area,2 BHK,2,1,1,5900000,1011,No,No,Yes,1,Talaghattapura
Super built-up  Area,3 BHK,2,2,1,10200000,1450,No,No,No,1,Kanakpura Road
Super built-up  Area,2 BHK,2,2,1,6900000,1129,Yes,Yes,No,0,Bannerghatta Road
Super built-up  Area,2 BHK,2,1,1,3600000,1126,No,No,No,1,Postal Colony
Plot  Area,3 BHK,3,1,,11000000,1200,No,No,Yes,1,ISRO Layout
Super built-up  Area,3 BHK,2,1,2,4500000,1180,No,Yes,No,1,Kadabagere
Plot  Area,3 BHK,4,1,2,12500000,600,Yes,Yes,No,0,Kanakpura Road
Plot  Area,4 BHK,4,2,2,4500000,940,Yes,No,No,1,Channasandra
Super built-up  Area,3 BHK,3,1,2,14000000,1933,Yes,Yes,Yes,0,Old Madras Road
Built-up  Area,2 BHK,2,2,2,6400000,1082,Yes,No,Yes,0,Bisuvanahalli
Plot  Area,8 BHK,8,1,1,25000000,2400,No,Yes,No,0,Hennur Road
Super built-up  Area,1 BHK,1,1,0,2800000,610,No,No,No,1,Kammanahalli
Plot  Area,4 BHK,4,2,1,16000000,1560,Yes,Yes,No,0,Sonnenahalli
Super built-up  Area,3 BHK,3,1,3,7799000,1300,No,No,No,0,7th Phase JP Nagar
Built-up  Area,4 BHK,6,1,0,20500000,3850,No,No,Yes,0,Sarjapur  Road
Built-up  Area,2 BHK,2,1,1,4600000,1125,No,No,No,1,Sarjapura - Attibele Road
Plot  Area,6 BHK,7,1,2,10700000,2400,No,No,No,0,Attibele
Super built-up  Area,2 BHK,2,2,0,2500000,777.4,Yes,No,No,0,Sarjapur  Road
Super built-up  Area,4 BHK,3,1,1,6500000,2500,Yes,No,Yes,1,1st Block HRBR Layout
Super built-up  Area,3 BHK,3,1,,15000000,1798,Yes,No,Yes,1,Bannerghatta
Built-up  Area,3 BHK,3,2,2,12000000,1864,No,No,Yes,0,Hennur Road
Super built-up  Area,2 BHK,2,2,1,5191000,1115,Yes,No,No,1,TC Palaya
Super built-up  Area,1 BHK,1,1,1,2500000,500,Yes,Yes,Yes,1,LB Shastri Nagar
Super built-up  Area,2 BHK,2,2,1,7000000,1200,Yes,No,No,0,Anwar Layout
Super built-up  Area,2 BHK,2,2,2,2480000,992,Yes,Yes,Yes,1,Raja Rajeshwari Nagar
Built-up  Area,2 BHK,2,2,3,5700000,950,Yes,Yes,No,1,Kathriguppe
Plot  Area,4 BHK,4,1,3,18500000,1500,No,No,Yes,0,Kudlu Gate
Super built-up  Area,2 BHK,2,2,1,6200000,1200,No,No,Yes,1,CV Raman Nagar
Built-up  Area,3 BHK,3,1,2,7000000,1735,Yes,No,Yes,0,Bileshivale
Built-up  Area,3 BHK,3,1,3,17200000,1750,Yes,No,Yes,0,Kengeri Satellite Town
Super built-up  Area,2 BHK,2,1,2,5600000,1009,Yes,Yes,No,1,Battarahalli
Super built-up  Area,3 BHK,2,2,3,10200000,1470,Yes,Yes,No,1,Old Airport Road
Super built-up  Area,3 BHK,3,1,2,11500000,1527,Yes,Yes,Yes,0,Dodda Nekkundi Extension
Built-up  Area,2 BHK,2,1,1,4500000,985,Yes,Yes,Yes,1,Whitefield
Built-up  Area,4 BHK,4,2,2,13500000,3300,Yes,Yes,No,0,Kengeri
Super built-up  Area,2 BHK,2,2,1,7700000,1277,No,No,Yes,1,Rajaji Nagar
Super built-up  Area,2 BHK,2,2,1,6200000,1100,No,No,No,0,Ananth Nagar
Super built-up  Area,3 BHK,3,2,2,14000000,1820,Yes,No,No,0,Jakkasandra Extension
Super built-up  Area,4 BHK,3,2,3,8700000,1530,Yes,No,Yes,0,R.T. Nagar
Super built-up  Area,3 BHK,3,1,2,20500000,1886,No,Yes,No,1,Bellandur
Plot  Area,3 BHK,2,2,0,19000000,1200,No,Yes,No,0,GM Palaya
Super built-up  Area,3 BHK,4,1,2,11000000,1880,Yes,Yes,No,1,BTM 2nd Stage
Super built-up  Area,2 BHK,2,1,2,5235000,1255,No,No,Yes,0,HSR Layout
Super built-up  Area,2 BHK,2,2,1,3600000,700,Yes,No,No,0,Jalahalli
Super built-up  Area,2 BHK,2,2,2,4600000,1140,Yes,Yes,Yes,0,Bannerghatta Road
Built-up  Area,2 BHK,2,1,1,2960000,1025,No,Yes,No,1,Singapura Village
Built-up  Area,4 BHK,4,1,2,24700000,3453,Yes,No,Yes,1,Chandapura
Super built-up  Area,3 BHK,2,2,2,5960000,1490,Yes,Yes,Yes,1,Whitefield
Plot  Area,4 BHK,4,1,2,16500000,1200,Yes,No,No,0,Nallurhalli
Super built-up  Area,3 BHK,3,1,2,14000000,1850,No,No,Yes,0,Whitefield
Super built-up  Area,2 BHK,2,2,1,7800000,1250,Yes,No,Yes,0,Puttanahalli
Super built-up  Area,4 BHK,3,2,1,10800000,2400,No,No,No,0,Banashankari
Super built-up  Area,4 BHK,5,1,3,71600000,3522,No,Yes,No,1,Chandra Layout
Super built-up  Area,2 BHK,2,1,2,8800000,1244,No,Yes,Yes,0,Jakkur
Plot  Area,4 BHK,4,1,1,7500000,623,No,No,No,0,Hennur
Super built-up  Area,2 BHK,2,1,1,2857000,1025,No,Yes,Yes,0,Kanakpura Road
Super built-up  Area,2 BHK,2,2,1,3800000,1034,Yes,Yes,No,1,Somasundara Palya
Super built-up  Area,3 BHK,2,2,2,3334000,1191,Yes,No,No,1,Electronic City Phase II
Super built-up  Area,3 BHK,3,1,2,7100000,1719,Yes,Yes,Yes,1,Whitefield
Super built-up  Area,2 BHK,2,1,1,3933000,1035,No,No,Yes,1,Uttarahalli
Plot  Area,4 BHK,3,1,2,23000000,1500,No,No,No,0,Akshaya Vana
Super built-up  Area,3 BHK,2,1,2,8422000,1470,Yes,No,No,0,Sarjapur  Road
Super built-up  Area,2 BHK,2,1,1,5066000,1140,Yes,Yes,No,0,Kaikondrahalli
Super built-up  Area,3 BHK,3,2,2,12500000,1752.12,Yes,Yes,Yes,0,Kamakya Layout
Plot  Area,6 BHK,6,1,2,8000000,600,Yes,No,Yes,0,Kodihalli
Plot  Area,4 BHK,3,2,1,8400000,600,No,Yes,Yes,1,Jalahalli
Super built-up  Area,3 BHK,3,1,2,17000000,2990,Yes,No,Yes,0,Kumaraswami Layout
Super built-up  Area,3 BHK,3,2,2,8500000,1660,Yes,No,Yes,0,Kengeri Satellite Town
Super built-up  Area,3 BHK,3,1,3,6343000,1275,Yes,Yes,No,0,Sarjapur  Road
Super built-up  Area,3 BHK,3,1,1,5281000,1365,Yes,No,No,0,Kengeri Satellite Town
Plot  Area,3 BHK,2,2,0,9000000,1200,No,Yes,No,0,Kasavanhalli
Super built-up  Area,3 BHK,3,2,,17000000,2546,Yes,No,No,0,7th Phase JP Nagar
Super built-up  Area,3 BHK,3,2,1,6946000,1392,Yes,Yes,No,1,2nd Stage Nagarbhavi
Super built-up  Area,2 BHK,2,1,1,5976000,1245,No,No,Yes,1,Hosa Road
Built-up  Area,5 BHK,3,2,1,6500000,1200,Yes,Yes,No,0,Yelahanka
Super built-up  Area,2 BHK,2,2,2,6408000,1162,No,Yes,Yes,0,Harlur
Super built-up  Area,3 BHK,2,1,1,7300000,1476,Yes,No,No,0,BTM 1st Stage
Built-up  Area,1 BHK,1,2,1,2150000,700,No,No,Yes,1,2nd Stage Nagarbhavi
Built-up  Area,6 BHK,6,1,1,17000000,3600,Yes,Yes,Yes,0,Old Madras Road
Built-up  Area,2 BHK,2,2,2,4800000,943,Yes,No,Yes,0,Bannerghatta Road
Plot  Area,2 BHK,2,2,1,17000000,1150,Yes,No,Yes,0,Electronic City
Super built-up  Area,2 BHK,2,2,1,4450000,1113,No,No,Yes,0,Bommasandra Industrial Area
Super built-up  Area,3 BHK,3,2,2,6943000,1615,No,No,No,0,"MEI layout, Bagalgunte"
Super built-up  Area,2 BHK,2,1,3,10000000,1279,Yes,Yes,No,0,Kanakpura Road
Super built-up  Area,2 BHK,2,1,1,6000000,1256,No,No,No,1,Banashankari Stage VI
Built-up  Area,3 BHK,3,2,2,28000000,1805,Yes,No,No,0,Whitefield
Built-up  Area,3 BHK,3,2,1,6500000,1350,Yes,No,No,0,Rayasandra
Super built-up  Area,3 BHK,3,1,2,6863000,1525,Yes,Yes,Yes,0,Yeshwanthpur
Super built-up  Area,2 BHK,2,2,1,12300000,1357,No,No,No,1,Singasandra
Super built-up  Area,3 BHK,3,2,2,11700000,1645,No,No,No,0,KR Puram
Super built-up  Area,3 BHK,3,2,2,9200000,1777.26,Yes,No,No,1,Gnana Bharathi
Super built-up  Area,2 BHK,2,1,2,3200000,845,Yes,No,No,0,Jigani
Built-up  Area,2 BHK,2,1,0,2500000,900,Yes,No,Yes,0,Pai Layout
Super built-up  Area,2 BHK,2,2,1,6415000,1210,Yes,No,No,1,Sarjapur  Road
Super built-up  Area,2 BHK,2,2,1,2280000,829,No,Yes,Yes,1,Varthur
Super built-up  Area,3 BHK,3,2,2,15500000,1879,No,Yes,Yes,1,Keshava Nagar
Super built-up  Area,3 BHK,2,2,2,5000000,1250,Yes,No,Yes,1,Kacharakanahalli
Built-up  Area,4 BHK,2,1,2,3500000,1200,Yes,Yes,No,1,Benson Town
Super built-up  Area,3 BHK,2,2,1,6000000,1108,No,Yes,No,0,Sompura
Super built-up  Area,3 BHK,3,1,2,6900000,1401,Yes,No,Yes,1,SRINIVASAPURA
Super built-up  Area,3 BHK,2,1,1,7500000,1157,No,No,Yes,0,Rajaji Nagar
Built-up  Area,2 BHK,2,1,1,4266000,1185,Yes,No,No,0,Hebbal
Super built-up  Area,3 BHK,3,1,2,11500000,1751,Yes,No,No,0,Ardendale
Plot  Area,5 BHK,3,2,1,25000000,1550,Yes,Yes,No,1,Bisuvanahalli
Super built-up  Area,3 BHK,3,2,2,9650000,1880,Yes,No,Yes,1,Sidedahalli
Super built-up  Area,3 BHK,3,2,0,4098500,1322.5,No,No,No,0,Varthur
Super built-up  Area,2 BHK,2,1,2,3800000,3517,No,No,Yes,1,Electronic City Phase II
Built-up  Area,2 BHK,2,2,1,9849000,1003.5,Yes,Yes,No,0,Sarjapur  Road
Super built-up  Area,2 BHK,2,1,2,5000000,2187.5,Yes,Yes,Yes,0,Hosur Road
Super built-up  Area,3 BHK,3,1,3,7500000,1639.5,No,No,Yes,0,Jeevanhalli
Plot  Area,4 BHK,4,2,2,30000000,2585.5,Yes,No,No,0,Marathahalli
Super built-up  Area,2 BHK,2,1,1,6700000,827.5,Yes,No,No,0,Kanakpura Road
Super built-up  Area,4 BHK,6,2,2,43000000,3730,Yes,No,No,0,Sarjapur  Road
Built-up  Area,2 BHK,2,2,2,4600000,1145,No,No,No,1,Ramamurthy Nagar Extension
Super built-up  Area,2 BHK,2,2,2,11300000,1260,No,No,No,1,Green Glen Layout
Super built-up  Area,3 BHK,2,2,3,4725000,1500,Yes,Yes,No,1,Mahalakshmi Puram
Super built-up  Area,3 BHK,2,1,1,5732000,1737,No,No,Yes,1,Bannerghatta Road
Super built-up  Area,4 BHK,,1,,16150000,3517,Yes,Yes,Yes,1,Whitefield
Plot  Area,3 BHK,4,1,1,12000000,1600,Yes,Yes,Yes,0,Channasandra
Built-up  Area,3 BHK,3,2,2,13500000,1500,No,No,Yes,1,Jalahalli
Plot  Area,2 BHK,2,2,0,6000000,1120,Yes,Yes,Yes,1,Yelachenahalli
Plot  Area,3 BHK,4,2,1,24000000,1200,No,No,No,1,Electronic City
Super built-up  Area,2 BHK,2,1,1,4650000,1030,No,Yes,Yes,1,"Gubbi Cross, Hennur Main Road"
Built-up  Area,6 BHK,6,2,1,8800000,2500,Yes,No,Yes,1,Tumkur Road
Super built-up  Area,2 BHK,2,2,1,3500000,1057,Yes,Yes,No,1,Dairy Circle
Super built-up  Area,4 BHK,4,2,3,20800000,2774,Yes,No,No,1,HSR Layout
Super built-up  Area,2 BHK,2,2,2,3850000,1460,No,Yes,Yes,0,Rajaji Nagar
Super built-up  Area,2 BHK,2,1,1,5370000,1075,Yes,Yes,No,1,Begur Road
Super built-up  Area,3 BHK,2,2,1,6000000,1080,No,Yes,Yes,0,Varthur
Super built-up  Area,4 BHK,5,1,3,78800000,3626,Yes,No,No,0,Hennur
Super built-up  Area,6 BHK,7,2,,22500000,5100,No,No,Yes,1,Byrathi Village
Super built-up  Area,2 BHK,2,2,1,4500000,1139.7,No,Yes,Yes,0,Hegde Nagar
Super built-up  Area,2 BHK,2,1,1,4280000,1074,Yes,No,Yes,1,Sabari Nagar
Plot  Area,2 BHK,2,1,1,4613000,1200,No,No,No,0,Banashankari Stage V
Super built-up  Area,4 BHK,5,2,1,17500000,2425,No,Yes,Yes,0,Hennur Road
Super built-up  Area,2 BHK,2,2,2,7400000,1323,No,No,Yes,1,Gubbalala
Super built-up  Area,2 BHK,2,1,1,6961000,1232,No,No,No,0,Kammasandra
Super built-up  Area,2 BHK,2,1,1,4000000,900,No,Yes,No,0,Old Airport Road
Super built-up  Area,1 BHK,1,1,1,2365000,740,No,Yes,Yes,1,Thanisandra
Super built-up  Area,3 BHK,3,2,2,13400000,1920,Yes,Yes,Yes,0,Hormavu
Super built-up  Area,3 BHK,3,1,2,9600000,1550,No,Yes,Yes,1,Mysore Road
